doc_id	wikipedia_entity	wikipedia_url
wiki-minicorpus-a_0026	Propanethiol	https://en.wikipedia.org/wiki/Propanethiol
wiki-minicorpus-a_0027	Virginia_State_Route_203	https://en.wikipedia.org/wiki/Virginia_State_Route_203
wiki-minicorpus-a_0028	Plaut_v._Spendthrift_Farm,_Inc.	https://en.wikipedia.org/wiki/Plaut_v._Spendthrift_Farm,_Inc.
wiki-minicorpus-a_0029	Gawade	https://en.wikipedia.org/wiki/Gawade
wiki-minicorpus-a_0030	Posterior_polymorphous_corneal_dystrophy	https://en.wikipedia.org/wiki/Posterior_polymorphous_corneal_dystrophy
wiki-minicorpus-a_0031	Elon_Farnsworth_(Michigan_Attorney_General)	https://en.wikipedia.org/wiki/Elon_Farnsworth_(Michigan_Attorney_General)
wiki-minicorpus-a_0032	Kruševačka_Planina	https://en.wikipedia.org/wiki/Kru%C5%A1eva%C4%8Dka_Planina
wiki-minicorpus-a_0033	Alexis_Marcou	https://en.wikipedia.org/wiki/Alexis_Marcou
wiki-minicorpus-a_0034	WVBF	https://en.wikipedia.org/wiki/WVBF
wiki-minicorpus-a_0035	Punto_Fijo	https://en.wikipedia.org/wiki/Punto_Fijo
wiki-minicorpus-a_0036	Cheq_Wong_language	https://en.wikipedia.org/wiki/Cheq_Wong_language
wiki-minicorpus-a_0037	Hamonado	https://en.wikipedia.org/wiki/Hamonado
wiki-minicorpus-a_0038	2-Aminoethoxydiphenyl_borate	https://en.wikipedia.org/wiki/2-Aminoethoxydiphenyl_borate
wiki-minicorpus-a_0039	Goddard_Institute_for_Space_Studies	https://en.wikipedia.org/wiki/Goddard_Institute_for_Space_Studies
wiki-minicorpus-a_0040	Large_black_flying_squirrel	https://en.wikipedia.org/wiki/Large_black_flying_squirrel
wiki-minicorpus-a_0041	Bonjour_Tristesse_(film)	https://en.wikipedia.org/wiki/Bonjour_Tristesse_(film)
wiki-minicorpus-a_0042	Matthew_K._Rose	https://en.wikipedia.org/wiki/Matthew_K._Rose
wiki-minicorpus-a_0043	Book_of_Isaiah	https://en.wikipedia.org/wiki/Book_of_Isaiah
wiki-minicorpus-a_0044	Al-Jumhuryah	https://en.wikipedia.org/wiki/Al-Jumhuryah
wiki-minicorpus-a_0045	Rutland_and_Melton_(UK_Parliament_constituency)	https://en.wikipedia.org/wiki/Rutland_and_Melton_(UK_Parliament_constituency)
wiki-minicorpus-a_0046	Alpha_Pi_Omega	https://en.wikipedia.org/wiki/Alpha_Pi_Omega
wiki-minicorpus-a_0047	Juan_Ávalos	https://en.wikipedia.org/wiki/Juan_%C3%81valos
wiki-minicorpus-a_0048	Vernon_Jordan	https://en.wikipedia.org/wiki/Vernon_Jordan
wiki-minicorpus-a_0049	Senegalese_Football_Federation	https://en.wikipedia.org/wiki/Senegalese_Football_Federation
wiki-minicorpus-a_0050	Elswick_Ordnance_Company	https://en.wikipedia.org/wiki/Elswick_Ordnance_Company
wiki-minicorpus-a_0051	SRI_International	https://en.wikipedia.org/wiki/SRI_International
wiki-minicorpus-a_0052	Holy_Jihad_Brigades	https://en.wikipedia.org/wiki/Holy_Jihad_Brigades
wiki-minicorpus-a_0053	Mefele_language	https://en.wikipedia.org/wiki/Mefele_language
wiki-minicorpus-a_0054	Gosnells_City_FC	https://en.wikipedia.org/wiki/Gosnells_City_FC
wiki-minicorpus-a_0055	Ochamchire	https://en.wikipedia.org/wiki/Ochamchire
wiki-minicorpus-a_0056	Mustang_Ranch	https://en.wikipedia.org/wiki/Mustang_Ranch
wiki-minicorpus-a_0057	Transylvanian_varieties_of_Romanian	https://en.wikipedia.org/wiki/Transylvanian_varieties_of_Romanian
wiki-minicorpus-a_0058	Grakliani_Hill	https://en.wikipedia.org/wiki/Grakliani_Hill
wiki-minicorpus-a_0059	St_Arnaud_railway_station	https://en.wikipedia.org/wiki/St_Arnaud_railway_station
wiki-minicorpus-a_0060	Tumar_Aghaj	https://en.wikipedia.org/wiki/Tumar_Aghaj
wiki-minicorpus-a_0061	C6orf201	https://en.wikipedia.org/wiki/C6orf201
wiki-minicorpus-a_0062	Jerzy_Juliusz_Kijowski	https://en.wikipedia.org/wiki/Jerzy_Juliusz_Kijowski
wiki-minicorpus-a_0063	Arauá_River_(Aripuanã_River)	https://en.wikipedia.org/wiki/Arau%C3%A1_River_(Aripuan%C3%A3_River)
wiki-minicorpus-a_0064	Divisaderos	https://en.wikipedia.org/wiki/Divisaderos
wiki-minicorpus-a_0065	Three_Strong_Women	https://en.wikipedia.org/wiki/Three_Strong_Women
wiki-minicorpus-a_0066	Scribe_(rapper)	https://en.wikipedia.org/wiki/Scribe_(rapper)
wiki-minicorpus-a_0067	Isabella_Hoppringle	https://en.wikipedia.org/wiki/Isabella_Hoppringle
wiki-minicorpus-a_0068	Bizlan	https://en.wikipedia.org/wiki/Bizlan
wiki-minicorpus-a_0069	Pseudoechthistatus_granulatus	https://en.wikipedia.org/wiki/Pseudoechthistatus_granulatus
wiki-minicorpus-a_0070	Eriko_Imai	https://en.wikipedia.org/wiki/Eriko_Imai
wiki-minicorpus-a_0071	Milenko_Kovačević	https://en.wikipedia.org/wiki/Milenko_Kova%C4%8Devi%C4%87
wiki-minicorpus-a_0072	Silvia_Abril	https://en.wikipedia.org/wiki/Silvia_Abril
wiki-minicorpus-a_0073	Fusiturricula_dolenta	https://en.wikipedia.org/wiki/Fusiturricula_dolenta
wiki-minicorpus-a_0074	Dick_Drescher	https://en.wikipedia.org/wiki/Dick_Drescher
wiki-minicorpus-a_0075	TAPPI	https://en.wikipedia.org/wiki/TAPPI
wiki-minicorpus-a_0076	Lumbaca-Unayan,_Lanao_del_Sur	https://en.wikipedia.org/wiki/Lumbaca-Unayan,_Lanao_del_Sur
wiki-minicorpus-a_0077	Michael_Weidt	https://en.wikipedia.org/wiki/Michael_Weidt
wiki-minicorpus-a_0078	Agiortia	https://en.wikipedia.org/wiki/Agiortia
wiki-minicorpus-a_0079	Lothar_von_Trotha	https://en.wikipedia.org/wiki/Lothar_von_Trotha
wiki-minicorpus-a_0080	Aida_(album)	https://en.wikipedia.org/wiki/Aida_(album)
wiki-minicorpus-a_0081	Jay_Neagle	https://en.wikipedia.org/wiki/Jay_Neagle
wiki-minicorpus-a_0082	Tremont_Mill_Pond	https://en.wikipedia.org/wiki/Tremont_Mill_Pond
wiki-minicorpus-a_0083	Bloemfontein_City_Commando	https://en.wikipedia.org/wiki/Bloemfontein_City_Commando
wiki-minicorpus-a_0084	Abide_Weekend	https://en.wikipedia.org/wiki/Abide_Weekend
wiki-minicorpus-a_0085	Sportske_novosti_awards	https://en.wikipedia.org/wiki/Sportske_novosti_awards
wiki-minicorpus-a_0086	Edward_D._Garza	https://en.wikipedia.org/wiki/Edward_D._Garza
wiki-minicorpus-a_0087	Richard_C._Thomas	https://en.wikipedia.org/wiki/Richard_C._Thomas
wiki-minicorpus-a_0088	Suining_County,_Hunan	https://en.wikipedia.org/wiki/Suining_County,_Hunan
wiki-minicorpus-a_0089	Kentucky_Route_53	https://en.wikipedia.org/wiki/Kentucky_Route_53
wiki-minicorpus-a_0090	Sneak_(novel)	https://en.wikipedia.org/wiki/Sneak_(novel)
wiki-minicorpus-a_0091	Ulupa'U_Crater	https://en.wikipedia.org/wiki/Ulupa'U_Crater
wiki-minicorpus-a_0092	Beaver_River,_Alberta	https://en.wikipedia.org/wiki/Beaver_River,_Alberta
wiki-minicorpus-a_0093	Lakbima_News	https://en.wikipedia.org/wiki/Lakbima_News
wiki-minicorpus-a_0094	West_Arsi_Zone	https://en.wikipedia.org/wiki/West_Arsi_Zone
wiki-minicorpus-a_0095	Guji_Oromo_people	https://en.wikipedia.org/wiki/Guji_Oromo_people
wiki-minicorpus-a_0096	Borana_Oromo_people	https://en.wikipedia.org/wiki/Borana_Oromo_people
wiki-minicorpus-a_0097	Shashamane	https://en.wikipedia.org/wiki/Shashamane
wiki-minicorpus-a_0098	Shiferaw_Shigute	https://en.wikipedia.org/wiki/Shiferaw_Shigute
wiki-minicorpus-a_0099	Somali_Region	https://en.wikipedia.org/wiki/Somali_Region
wiki-minicorpus-a_0100	Afar_Region	https://en.wikipedia.org/wiki/Afar_Region
